Brand,Industry,Media Agency,Country,Campaign Type,Geotargeting,Campaign Name,Start Date,End Date,Year,Budget Impressions/Clicks,Actual Impressions,Actual Clicks,Budget EUR (Net),Budget Achievement (%),CTR%,MAIDs,# Locs,R. Targeting (m),FootFall,FF Radius,Retargeting,Campaign Status
Flughafen Linz,Tourism / Airtravel / Hospitality,—,—,,—,[Preparation] Flughafen Linz,,,,,,,,,,—,,—,,—,—,—
SAP,IT / Hardware / Software / Telco / ISP / Media,—,—,,Hyperlocal,[Preparation] SAP - Event Targeting,,,,,,,7500.0,,,—,,—,,—,—,—
n/a / undisclosed brand,,—,Philippines,Footfall Attribution / Drive to Store,—,[Preparation] Onboarding YAZLE Philippines as Partner Agency,,,,,,,,,,—,,—,,—,—,—
n/a,,—,—,,—,[Preparation] Vineeta for Dubai - UAE - Qatar - Kuwait - Saudi Arabia,,,,,,,,,,—,,—,,—,—,—
n/a,,—,Austria,,Hyperlocal,[Forecast] Geberit - Messen 2022,,,,,,,,,,—,,—,,—,—,—
n/a,,—,VietNam,,—,[Forecast] Programmatic Info Sheet -  By Country: VIETNAM,,,,,,,,,,—,,—,,—,—,—
n/a,,—,Philippines,,—,[Forecast] Programmatic Info Sheet -  By Country: PHILIPPINES,,,,,,,,,,—,,—,,—,—,—
n/a,,—,—,,—,[Forecast] Programmatic Info Sheet -  By Country: SERBIA,,,,,,,,,,—,,—,,—,—,—
n/a,,—,Romania,,Hyperlocal,[Forecast] undisclosed brand - Romania Airport Campaign + Border Crossing Points,,,,,,,,,,—,,—,,—,—,—
n/a,,—,—,,—,[Forecast] Programmatic Info Sheet -  By Country,,,,,,,,,,—,,—,,—,—,—
Bridgestone,Automotive / Car Manufacturers / Car Dealership,United Media,Romania,,—,"Bridgestone - Spring Campaign (Turanza, Potenza & All Season)",2022-03-25,2022-04-30,2022,180000,99441,,810.0,55.245,,—,,—,,500.0,—,Campaign Ended
Bridgestone,Automotive / Car Manufacturers / Car Dealership,United Media,Romania,,Hyperlocal,Bridgestone - Sellout Winter,2022-10-25,2022-11-15,2022,121212,125320,,545.4,103.3891,,—,,—,,500.0,—,Campaign Ended
Casa Pariurilor,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Casa Pariurilor - Apr-May,2022-05-07,2023-05-28,2022,500000,508925,,4000.0,101.785,,—,,—,,500.0,—,Campaign Ended
Coca Cola / The Coca-Cola Company,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,MediaCom / EssenceMediacom,Romania,,Hyperlocal,Coca Cola - Music Saga Festival (Jun 2022),2022-06-03,2022-06-06,2022,200000,216504,,900.0,108.252,,—,,—,,500.0,—,Campaign Ended
Coca Cola / The Coca-Cola Company,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,MediaCom / EssenceMediacom,Romania,,Hyperlocal,Coca Cola - Music Neversea Festival,2022-07-07,2022-07-11,2022,265909,269003,,1197.0,101.1636,,—,,—,,3000.0,—,Campaign Ended
Coca Cola / The Coca-Cola Company,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,MediaCom / EssenceMediacom,Romania,,Hyperlocal,Coca Cola - Precision Mega Image (August 2022),2022-08-04,2022-08-17,2022,200000,217584,,900.0,108.792,,—,,—,,500.0,—,Campaign Ended
Coca Cola / The Coca-Cola Company,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,MediaCom / EssenceMediacom,Romania,,Hyperlocal,Coca Cola Zero Precision,2022-12-21,2022-12-31,2022,266667,274932,,1200.0,103.0994,,—,,—,,3000.0,—,Campaign Ended;    Campaign Received;    Campaign Live on DSP;    Campaign Started
Continental,Automotive / Car Manufacturers / Car Dealership,—,Austria,,Hyperlocal,Continental Reifen Austria GesmbH - Continental PIA Sommer 2022,2022-07-07,2022-08-18,2022,105250,105754,,1360.0,100.4789,,—,,—,,—,—,Campaign Ended
Continental,Automotive / Car Manufacturers / Car Dealership,—,Austria,,Hyperlocal,Continental Stellantis 2022,2022-10-17,2022-11-11,2022,789375,792841,,10200.0,100.4391,,—,,—,,—,—,Campaign Ended
Donau Niederösterreich Tourismus GmbH,Tourism / Airtravel / Hospitality,—,Austria,,Hyperlocal,Donau Niederösterreich Tourismus GmbH - DONAUGÄRTEN 2022 [Targeting],2022-06-06,2022-06-20,2022,225000,509537,,3400.0,113.2304,,—,,—,,—,—,Campaign Ended
Donau Niederösterreich Tourismus GmbH,Tourism / Airtravel / Hospitality,—,Austria,,Hyperlocal,Donau Niederösterreich Tourismus GmbH - DONAUGÄRTEN 2022 [Retargeting],2022-06-20,2022-07-03,2022,225000,,,3400.0,,,—,,—,,—,—,—
FH Wiener Neustadt,Recruitment / Education,—,Austria,,Hyperlocal,FH Wiener Neustadt -  Tag der offenen Tuer 25.02.2022 [Targeting],2022-01-28,2022-02-25,2022,337778,,,5168.0,,,—,,—,,—,—,—
FH Wiener Neustadt,Recruitment / Education,—,Austria,,Other / Retargeting (see below),FH Wiener Neustadt -  Tag der offenen Tuer 25.02.2022 [Retargeting],2022-02-04,,2022,189244,,,,,,—,,—,,—,—,—
FH Wiener Neustadt,Recruitment / Education,—,Austria,,Other / Retargeting (see below),FH Wiener Neustadt - Infossession 15.03.2022 [Retargeting],2022-02-26,2022-03-15,2022,124045,,,1897.88,,,—,,—,,—,—,—
FH Wiener Neustadt,Recruitment / Education,—,Austria,,Hyperlocal; Other / Retargeting (see below),FH Wiener Neustadt - Infossession 15.03.2022 [Targeting],2022-02-26,2022-03-15,2022,248177,,,3797.12,,,—,,—,,—,—,—
FH Wiener Neustadt,Recruitment / Education,—,Austria,,Hyperlocal,FH Wiener Neustadt - Infossession 26.04.2022,2022-04-11,2022-04-26,2022,182000,183258,,2784.6,100.6912,,—,,—,,—,—,Campaign Ended
FH Wiener Neustadt,Recruitment / Education,—,Austria,,Hyperlocal,FH Wiener Neustadt - Infossession 17.05.2022,2022-04-28,2023-05-17,2022,182000,183895,,2784.6,101.0412,,—,,—,,—,—,Campaign Ended
FH Wiener Neustadt,Recruitment / Education,—,Austria,,Hyperlocal,FH Wiener Neustadt_STG Strategisches Marketing & Kampagnenmanagement,2022-05-06,2022-05-27,2022,104167,122772,,1133.34,117.8607,,—,,—,,—,—,Campaign Ended
FH Wiener Neustadt,Recruitment / Education,—,Austria,,Hyperlocal,FH Wiener Neustadt_STG Business Development & Sales Management,2022-05-06,2022-05-27,2022,104167,122991,,1133.34,118.071,,—,,—,,—,—,Campaign Ended
FH Wiener Neustadt,Recruitment / Education,—,Austria,,Hyperlocal,FH Wiener Neustadt_STG Entrepreneurship & Applied Management,2022-05-06,2022-05-27,2022,104167,122690,,1133.34,117.782,,—,,—,,—,—,Campaign Ended
FH Wiener Neustadt,Recruitment / Education,—,Austria,,Hyperlocal,FH Wiener Neustadt_Infosession 07.06.2022,2022-05-31,2022-06-07,2022,182000,218711,,2784.6,120.1709,,—,,—,,—,—,Campaign Ended
FH Wiener Neustadt,Recruitment / Education,—,Austria,,Hyperlocal,FH Wiener Neustadt Infosession Termin Oktober,2022-10-03,2022-10-25,2022,310227,361144,,3164.28,116.4128,,—,,—,,—,—,Campaign Ended
FH Wiener Neustadt,Recruitment / Education,—,Austria,,Hyperlocal,FH Wiener Neustadt Fakultät Infoabend 2022 [Targeting],2022-11-04,2022-11-24,2022,329467,,,3042.42,,,—,,—,,—,—,—
FH Wiener Neustadt,Recruitment / Education,—,Austria,,Hyperlocal,FH Wiener Neustadt Fakultät Infoabend 2022 [Retargeting],2022-11-05,2022-11-24,2022,188334,,,1739.14,,,—,,—,,—,—,—
FH Wiener Neustadt,Recruitment / Education,—,Austria,,Hyperlocal,FH Wiener Neustadt Infosessions Jänner 2023,2022-12-20,2023-01-24,2022,310227,362474,,3164.04,116.8415,,—,,—,,—,—,Campaign Ended;    Campaign Received;    Campaign Live on DSP;    Campaign Started
Fanta / The Coca-Cola Company,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,MediaCom / EssenceMediacom,Romania,,Hyperlocal,Fanta - Halloween,2022-11-03,2022-11-06,2022,376000,387123,,1692.0,102.9582,,—,,—,,1000.0,—,Campaign Ended
Fashion House,Mall,Starcom,Romania,,Hyperlocal,Fashion House Militari & Pallady – Dynamic Banners,2022-07-01,2023-07-31,2022,300000,302182,,1800.0,100.7273,,—,,—,,200.0,—,Campaign Ended
Focus Sat,IT / Hardware / Software / Telco / ISP / Media,Havas / Havas Media,Romania,,Hyperlocal,Focusat - TV Online oriunde in UE (Havas),2022-08-02,2023-08-30,2022,536000,536784,,2251.2,100.1463,,—,,—,,—,—,Campaign Ended
Focus Sat,IT / Hardware / Software / Telco / ISP / Media,Havas / Havas Media,Romania,,Hyperlocal,Focusat - TV Online oriunde in UE (Havas) [August month end Boost],2022-08-26,2023-09-03,2022,333334,334334,,1400.0,100.3,,—,,—,,—,—,Campaign Ended
Fortuna,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Fortuna World Cup (dec 2022),2022-12-06,2022-12-18,2022,375000,379390,,3000.0,101.1707,,—,,—,,500.0,—,Campaign Ended
Geberit,Home Appliances / Home Improvement / DIY,—,Austria,,Hyperlocal,Geberit - Messen 2022 (Targeting-Phase: Com:bau Dornbirn) [Targeting],2022-04-29,2022-05-01,2022,49300,,,817.0,,,—,,—,,—,—,—
Geberit,Home Appliances / Home Improvement / DIY,—,Austria,,Hyperlocal,Geberit - Messen 2022 (Retargeting-Phase) [Retargeting],2022-04-30,2022-05-20,2022,203000,,,3366.0,,,—,,—,,—,—,—
Geberit,Home Appliances / Home Improvement / DIY,—,Austria,,Hyperlocal,Geberit - Messen 2022 (Targeting-Phase: Design Days Grafenegg) [Targeting],2022-05-06,2022-05-08,2022,49300,,,817.0,,,—,,—,,—,—,—
Hervis / Hervis Sports,Sports / Sports Retail / Sports Manufacturer,Havas / Havas Media,Romania,,Hyperlocal,Hervis - Deschidere Promenada (March-April 2022),2022-03-28,2022-04-03,2022,100000,112376,,450.0,112.376,,—,,—,,3000.0,—,Campaign Ended
Hervis / Hervis Sports,Sports / Sports Retail / Sports Manufacturer,Havas / Havas Media,Romania,,Hyperlocal,Hervis - Deschidere Militari (April 2022) - Teasing,2022-04-11,2022-04-14,2022,50000,110750,,262.5,110.75,,—,,—,,1000.0,—,Campaign Ended
Hervis / Hervis Sports,Sports / Sports Retail / Sports Manufacturer,Havas / Havas Media,Romania,,Hyperlocal,Hervis - Deschidere Militari (April 2022) - Launch,2022-04-14,2022-04-17,2022,50000,,,262.5,,,—,,—,,—,—,—
Hervis / Hervis Sports,Sports / Sports Retail / Sports Manufacturer,Havas / Havas Media,Romania,,Hyperlocal; Zip-Code,Hervis - Deschidere Slatina (August 2022),2022-08-22,2022-08-28,2022,50000,50725,,225.0,101.45,,—,,—,,2000.0,—,Campaign Ended
Hervis / Hervis Sports,Sports / Sports Retail / Sports Manufacturer,Havas / Havas Media,Romania,,Hyperlocal,Hervis - Deschidere Bucuresti FHOC Militari (August 2022),2022-08-23,2022-08-28,2022,100000,100971,,450.0,100.971,,—,,—,,4000.0,—,Campaign Ended
Hervis / Hervis Sports,Sports / Sports Retail / Sports Manufacturer,Havas / Havas Media,Romania,,Hyperlocal,Hervis - Redeschidere Bucuresti Vulcan Value Center (August 2022),2022-08-23,2022-08-28,2022,100000,101278,,450.0,101.278,,—,,—,,3000.0,—,Campaign Ended
Hervis / Hervis Sports,Sports / Sports Retail / Sports Manufacturer,Havas / Havas Media,Romania,,Hyperlocal,Hervis - Deschidere Turda (Sept 2022),2022-09-19,2022-09-25,2022,87058,88747,,391.8,101.9401,,—,,—,,500.0,—,Campaign Ended
Hervis / Hervis Sports,Sports / Sports Retail / Sports Manufacturer,Havas / Havas Media,Romania,,Hyperlocal,Hervis - Deschidere Sf. Gheorghe (Oct-Nov 2022),2022-10-31,2022-11-06,2022,100000,101479,,450.0,101.479,,—,,—,,5000.0,—,Campaign Ended
Hervis / Hervis Sports,Sports / Sports Retail / Sports Manufacturer,Havas / Havas Media,Romania,,Hyperlocal,Hervis Redeschidere Timisoara (Nov-Dec 2022),2022-11-28,2022-12-04,2022,100000,113515,,450.0,113.515,,—,,—,,2000.0,—,Campaign Ended
ING,Banking / Finance / Insurance / Legal,Universal McCann / UM,Romania,,Hyperlocal,ING - SoftPOS 2,2022-08-02,2023-08-14,2022,333333,339483,,1500.0,101.845,,—,,—,,750.0,—,Campaign Ended
KFC / Kentucky Fried Chicken,Fast Food / Restaurant,Universal McCann / UM,Romania,,Hyperlocal; City,KFC - Zinger Mozzarella Burge drive offer (May-Jul 2022),2022-05-19,2022-07-04,2022,200000,176480,,1200.0,88.24,,—,,—,,1500.0,—,Campaign Ended
Kärcher / Kaercher,Home Appliances / Home Improvement / DIY,—,Austria,,Country,Kaercher - FC7-Audience Insights Kampagne [Retargeting/Performance],2022-10-10,2022-11-27,2022,490000,,,5996.92,,,—,,—,,—,—,—
Kärcher / Kaercher,Home Appliances / Home Improvement / DIY,—,Austria,,Country,Kaercher - FC7-Audience Insights Kampagne [Targeting/Audience Analysis],2022-10-10,2022-11-27,2022,1481700,1986514,,13151.88,134.0699,,—,,—,,—,—,Campaign Ended
Kärcher / Kaercher,Home Appliances / Home Improvement / DIY,—,Austria,,Country,Kaercher - VC6 Obviously Good mit Bundle [Targeting 2: Audience Targeting],2022-11-04,2022-11-28,2022,464285,,,4420.0,,,—,,—,,—,—,—
Kärcher / Kaercher,Home Appliances / Home Improvement / DIY,—,Austria,,Hyperlocal,Kaercher - VC6 Obviously Good mit Bundle [Targeting 1: Location Targeting],2022-11-04,2022-11-28,2022,250000,720961,,2380.0,100.9346,,—,,—,,—,—,Campaign Ended
Leroy Merlin,Home Appliances / Home Improvement / DIY,Dentsu,Romania,,Hyperlocal,Leroy Merlin - Voucher CJ&PH (August 2022),2022-08-05,2022-08-31,2022,444445,447499,,1999.8,100.6871,,—,,—,,4000.0,—,Campaign Ended
MVC Motors,Automotive / Car Manufacturers / Car Dealership,—,Austria,,Hyperlocal,MVC Motors – Ford HLT Q4/2022 [Targeting],2022-10-07,2022-12-31,2022,350000,549947,,4819.84,101.2421,,—,,—,,—,—,Campaign Ended
MVC Motors,Automotive / Car Manufacturers / Car Dealership,—,Austria,,Hyperlocal,MVC Motors – Carl HLT Q4/2022 [Targeting],2022-10-07,2022-12-31,2022,144500,,,1326.68,,,—,,—,,—,—,—
MVC Motors,Automotive / Car Manufacturers / Car Dealership,—,Austria,,Hyperlocal; City,MVC Motors – Ford HLT Q4/2022 [Retargeting],2022-10-08,2022-12-31,2022,193200,,,2660.16,,,—,,—,,—,—,—
MVC Motors,Automotive / Car Manufacturers / Car Dealership,—,Austria,,City,MVC Motors – Carl HLT Q4/2022 [Retargeting],2022-10-08,2022-12-31,2022,80360,,,737.8,,,—,,—,,—,—,—
MVC Motors,Automotive / Car Manufacturers / Car Dealership,—,Austria,,City,MVC Motors - FCA HLT Q4/2022 [Retargeting],2022-10-13,2022-12-31,2022,83700,,,768.4,,,—,,—,,—,—,—
MVC Motors,Automotive / Car Manufacturers / Car Dealership,—,Austria,,Hyperlocal,MVC Motors - FCA HLT Q4/2022 [Targeting],2022-10-13,2022-12-31,2022,138500,229834,,1271.6,103.4356,,—,,—,,—,—,Campaign Ended
MVC Motors,Automotive / Car Manufacturers / Car Dealership,—,Austria,,Hyperlocal,MVC Motors - Peugeot HLT Q4/2022 [Targeting],2022-10-28,2022-12-31,2022,154700,,,1419.84,,,—,,—,,—,—,—
MVC Motors,Automotive / Car Manufacturers / Car Dealership,—,Austria,,Hyperlocal,MVC Motors - Peugeot HLT Q4/2022 [Retargeting],2022-10-29,2022-12-31,2022,154700,,,1419.84,,,—,,—,,—,—,—
MVC Motors,Automotive / Car Manufacturers / Car Dealership,—,Austria,,Hyperlocal; Other / Retargeting (see below),MVC Motors - Nissan HLT Q4/2022 [Targeting],2022-11-03,2022-12-31,2022,294000,,,2698.2,,,—,,—,,—,—,—
MVC Motors,Automotive / Car Manufacturers / Car Dealership,—,Austria,,Hyperlocal; Other / Retargeting (see below),MVC Motors - Nissan HLT Q4/2022 [Retargeting],2022-11-04,2022-12-31,2022,150450,,,1381.08,,,—,,—,,—,—,—
Mega Image,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,United Media,Romania,,Hyperlocal; City,Mega Image - Regina Maria (Jul-Aug 2022),2022-07-02,2022-07-15,2022,110000,112407,,505.8,102.1882,,—,,—,,1000.0,—,Campaign Ended
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,Hyperlocal,Penny Deschideri - TUNARI,2022-02-01,2022-02-14,2022,15000,151124,,675.0,1007.4933,,—,,—,,5000.0,—,Campaign Ended
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,Hyperlocal,Penny Deschideri - BISTRITA,2022-04-14,2022-04-26,2022,150000,150373,,675.0,100.2487,,—,,—,,500.0,—,Campaign Ended
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,Hyperlocal,Penny Deschideri – SIBIU CISNADIE,2022-04-29,2023-05-12,2022,150000,151195,,675.0,100.7967,,—,,—,,5000.0,—,Campaign Ended
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,Hyperlocal,Penny Deschideri - Arad (Sep 2022),2022-09-07,2022-09-20,2022,150000,153385,,675.0,102.2567,,—,,—,,500.0,—,Campaign Ended
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,Hyperlocal,Penny - Filiale Slabe (Sep-Oct 2022),2022-09-22,2022-10-22,2022,1450000,1457029,,6525.0,100.4848,,—,,1000,,1000.0,—,Campaign Ended
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,Hyperlocal,Penny Deschideri Sibiu - Saliste (nov 2022),2022-11-09,2022-11-22,2022,150000,124226,,559.02,82.8173,,—,,—,,15000.0,—,Campaign Ended
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,Hyperlocal; Zip-Code,Penny Deschideri Prahova - Valea Calugareasca (nov 2022),2022-11-17,2022-11-30,2022,150000,152836,,675.0,101.8907,,—,,—,,1000.0,—,Campaign Ended
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,Hyperlocal; City,Penny Deschideri Constanta-Ovidiu (nov 2022),2022-11-17,2022-11-30,2022,150000,168183,,675.0,112.122,,—,,—,,1000.0,—,Campaign Ended
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,Hyperlocal; City,Penny Deschideri Maramures (nov-dec 2022),2022-11-18,2022-12-06,2022,150000,29267,,131.7,19.5113,,—,,—,,15000.0,—,Campaign Ended
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,Hyperlocal,Penny Deschideri Piatra Neamt (nov-dec 2022),2022-11-23,2022-12-07,2022,150000,159027,,675.0,106.018,,—,,—,,500.0,—,Campaign Ended
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,Hyperlocal,Penny Deschideri Suceava (nov-dec 2022),2022-11-24,2022-12-13,2022,150000,167288,,675.0,111.5253,,—,,—,,5000.0,—,Campaign Ended
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,Hyperlocal,Penny Prahova - Plopeni,2022-12-12,2022-12-29,2022,150000,150336,,675.0,100.224,,—,,—,,3000.0,—,Campaign Ended;    Campaign Received;    Campaign Live on DSP;    Campaign Started
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,—,Penny Maramures - Somcuta Mare,2022-12-12,2022-12-29,2022,150000,48041,,216.19,32.0273,,—,,—,,5000.0,—,Campaign Ended
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,Hyperlocal,Penny Iasi - Valea Lupului,2022-12-14,2022-12-29,2022,150000,150929,,675.0,100.6193,,—,,—,,2000.0,—,Campaign Ended
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,City,Penny Deschideri - Buzau Crâng,2022-12-17,2023-01-03,2022,150000,29218,,675.0,19.4787,,—,,—,,10000.0,—,Campaign Ended;    Campaign Received;    Campaign Live on DSP;    Campaign Started
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,Hyperlocal,Penny Deschideri - Bucuresti Liviu Rebreanu,2022-12-17,2023-01-03,2022,150000,151649,,675.0,101.0993,,—,,—,,2000.0,—,Campaign Ended;    Campaign Received;    Campaign Live on DSP;    Campaign Started
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,City,Penny Deschideri - Timis Șag,2022-12-17,2023-01-03,2022,150000,161038,,675.0,107.3587,,—,,—,,10000.0,—,Campaign Ended;    Campaign Received;    Campaign Live on DSP;    Campaign Started
Penny,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,Starcom,Romania,,Hyperlocal,Penny Deschideri - Iasi Podu Iloaiei,2022-12-17,2023-01-03,2022,150000,99979,,675.0,66.6527,,—,,—,,3000.0,—,Campaign Ended;    Campaign Received;    Campaign Live on DSP;    Campaign Started
"Pepsi / PepsiCo;
Lay's",,OMD,Romania,,Hyperlocal,Pepsi Max & Lay's - Shopper Activation,2022-10-26,2022-11-16,2022,100000,103619,,600.0,103.619,,—,,—,,1000.0,—,Campaign Ended
Pizza Hut / Pizza Hut Express,Fast Food / Restaurant,—,Romania,,Hyperlocal,PH Express - Buzau Stuffed Crust,2022-05-05,2022-06-29,2022,180000,185769,,1080.0,103.205,,—,,—,,1000.0,—,Campaign Ended
Rockstar,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,OMD,Romania,,Hyperlocal,Rockstar Shopper Auchan,2022-12-21,2023-01-03,2022,100000,110353,,600.0,110.353,,—,,—,,1000.0,—,Campaign Ended;    Campaign Received;    Campaign Live on DSP;    Campaign Started
Schweppes / The Coca-Cola Company,Packed Consumer Goods / Fast Moving Consumer Goods / Super Markets,MediaCom / EssenceMediacom,Romania,,Hyperlocal,Schweppes IMC Festive (Nov-Dec 2022),2022-11-21,2022-12-31,2022,400000,406640,,1800.0,101.66,,—,,—,,1000.0,—,Campaign Ended
Socar,Energy / Petrol / Gas Stations / Logistics & Transportation,Dentsu,Romania,,Hyperlocal,Socar - Alimentare (Oct-Nov 2022),2022-10-15,2022-11-15,2022,190000,191923,,1140.0,101.0121,,—,,—,,200.0,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Superbet -  10+10,2022-02-18,2022-02-20,2022,416667,426680,,1750.0,102.4031,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Superbet - 10+10 (2nd Flight),2022-02-23,2022-02-27,2022,166667,167689,,700.0,100.6132,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal; Other / Retargeting (see below),Superbet - 10+10 (3rd Flight),2022-02-24,2022-02-27,2022,250000,252931,,1050.0,101.1724,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal; Other / Retargeting (see below),Superbet - 10+10 (4th Flight),2022-02-25,2022-03-01,2022,35000,35954,,147.0,102.7257,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Superbet - 10+10 (6th Flight),2022-03-02,2022-03-06,2022,416667,417925,,1750.0,100.3019,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Superbet - 10+10 (5th Flight),2022-03-03,2022-03-06,2022,41667,41983,,175.0,100.7584,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Superbet - 10+10 (7th Flight),2022-03-10,2022-03-20,2022,166667,168093,,700.0,100.8556,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Superbet - 10+10 (8th Flight),2022-03-16,2022-04-03,2022,150000,152963,,630.0,101.9753,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Superbet - 10+10 (9th Flight),2022-03-17,2022-03-20,2022,33334,33757,,140.0,101.269,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Superbet - 10+10 (10th Flight),2022-03-24,2023-03-27,2022,50000,51577,,210.0,103.154,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Superbet - 10+10 (11th Flight),2022-03-30,2022-04-03,2022,16667,16668,,70.0,100.006,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Superbet - 10+10 (14th Flight),2022-04-06,2022-04-17,2022,83334,84536,,350.0,101.4424,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Superbet - 10+10 (13th Flight),2022-04-06,2022-04-10,2022,16667,16876,,70.0,101.254,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Superbet - 10+10 (12th Flight),2022-04-06,2022-04-17,2022,116667,117869,,490.0,101.0303,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Superbet - 10+10 (15th Flight),2022-04-13,2022-05-01,2022,183332,183225,,770.0,99.9416,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Superbet - 10+10 (19th Flight),2022-04-28,2022-05-01,2022,8334,8536,,35.0,102.4238,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Superbet - 10+10 (18th Flight),2022-04-29,2022-05-29,2022,108333,108373,,455.0,100.0369,,—,,—,,—,—,Campaign Ended
Superbet,Culture / Entertainment / Betting & Gambling,—,Romania,,Hyperlocal,Superbet - 10+10 (21th Flight),2022-05-04,2023-05-08,2022,250000,251731,,1050.0,100.6924,,—,,—,,—,—,Campaign Ended
